Treatment,TA,Temperature,Salinity,pH.Total
Ambient Temp,2085,14,27.5,7.4
Ambient Temp,2085,14,27.5,7.5
Ambient Temp,2085,14,27.5,7.6
Ambient Temp,2085,14,27.5,7.7
Ambient Temp,2085,14,27.5,7.8
Ambient Temp,2085,14,27.5,7.9
Ambient Temp,2085,14,27.5,8
High Temp,2085,20,27.5,7.4
High Temp,2085,20,27.5,7.5
High Temp,2085,20,27.5,7.6
High Temp,2085,20,27.5,7.7
High Temp,2085,20,27.5,7.8
High Temp,2085,20,27.5,7.9
High Temp,2085,20,27.5,8
