Measure.Date,Calib.Date,Tank,Treatment,Temperature,pH.MV,Salinity,TA
20160319,20160319,1,pH 7.38,13.95,-28.8,25.7,2060
20160319,20160319,2,pH 7.01,13.98,-8.1,25.7,2060
20160319,20160319,3,pH 7.01,14.02,-8,25.7,2060
20160319,20160319,4,pH 7.38,13.91,-28.8,25.8,2060
20160319,20160319,5,pH 7.38,13.93,-29,25.8,2060
20160319,20160319,6,pH 7.01,14.01,-7.8,25.7,2060
20160320,20160320,1,pH 7.38,13.9,-29.4,26.2,2060
20160320,20160320,2,pH 7.01,13.88,-8,26.2,2060
20160320,20160320,3,pH 7.01,13.85,-8,26.2,2060
20160320,20160320,4,pH 7.38,13.87,-29.1,26.1,2060
20160320,20160320,5,pH 7.38,13.9,-29.8,26.1,2060
20160320,20160320,6,pH 7.01,13.95,-8.3,26.1,2060
20160321,20160321_1,1,pH 7.38,13.97,-30.1,26.6,2060
20160321,20160321_1,2,pH 7.01,14.04,-8.6,26.6,2060
20160321,20160321_1,3,pH 7.01,14.04,-8.6,26.6,2060
20160321,20160321_1,4,pH 7.38,13.98,-29.9,26.6,2060
20160321,20160321_2,5,pH 7.38,13.93,-30.3,26.6,2060
20160321,20160321_2,6,pH 7.01,14.08,-8.6,26.6,2060
