Measure.Date,Calib.Date,Tank,Treatment,Temperature,pH.MV,Salinity,TA,DIC,DNR.pH
20160304,20160304,1,Ambient,14,-53.1,26.8,2085,,
20160304,20160304,2,Ambient,13.99,-53,26.9,2085,,
20160304,20160304,3,Ambient,13.97,-52.9,26.5,2085,,
20160304,20160304,4,High,14.01,-31.7,26.8,2085,,
20160304,20160304,5,High,13.94,-31.1,26.9,2085,,
20160304,20160304,6,High,13.99,-31.3,26.9,2085,,
20160307,20160307,1,Ambient,12.09,-52.8,27.4,2085,,
20160307,20160307,2,Ambient,12.05,-53,27.4,2085,,
20160307,20160307,3,Ambient,12.14,-52.8,27.4,2085,,
20160307,20160307,4,High,12.08,-31.6,27.4,2085,,
20160307,20160307,5,High,12.18,-32.7,27.4,2085,,
20160307,20160307,6,High,12.15,-33.4,27.4,2085,,
20160308,20160307,1,High,14.05,-19.7,27.5,2085,,
20160308,20160307,2,Ambient,14.06,-53,27.5,2085,,
20160308,20160307,3,Ambient,14.14,-52.8,27.5,2085,,
20160308,20160307,4,High,14.11,-22.6,27.5,2085,,
20160308,20160307,5,High,14.1,-22,27.5,2085,,
20160308,20160307,6,Ambient,14.08,-53.3,27.5,2085,,
