Measure.Date,Calib.Date,Tank,Treatment,Temperature,pH.MV,Salinity,TA,DIC,DNR.pH
20160308,20160307,1,High,14.05,-19.7,27.5,2000,,
20160308,20160307,2,Ambient,14.06,-53,27.5,2000,,
20160308,20160307,3,Ambient,14.14,-52.8,27.5,2000,,
20160308,20160307,4,High,14.11,-22.6,27.5,2000,,
20160308,20160307,5,High,14.1,-22,27.5,2000,,
20160308,20160307,6,Ambient,14.08,-53.3,27.5,2000,,
20160309,20160309,1,High,13.93,-29,27.4,2000,,
20160309,20160309,2,Ambient,13.92,-55,27.4,2000,,
20160309,20160309,3,Ambient,13.93,-55,27.4,2000,,
20160309,20160309,4,High,13.91,-28.2,27.4,2000,,
20160309,20160309,5,High,13.93,-28.6,27.5,2000,,
20160309,20160309,6,Ambient,13.94,-55,27.4,2000,,
20160310,20160310,1,High,14.18,-29,27.3,2000,,
20160310,20160310,2,Ambient,13.99,-55.7,27.2,2000,,
20160310,20160310,3,Ambient,13.98,-55.6,27.2,2000,,
20160310,20160310,4,High,13.87,-28.6,27.2,2000,,
20160310,20160310,5,High,13.96,-28.4,27.2,2000,,
20160310,20160310,6,Ambient,14.01,-55.3,27.2,2000,,
20160311,20160311,1,High,14,-30.3,27.5,2000,,
20160311,20160311,2,Ambient,14,-56.6,27.5,2000,,
20160311,20160311,3,Ambient,14.05,-56.8,27.5,2000,,
20160311,20160311,4,High,14.03,-30.2,27.5,2000,,
20160311,20160311,5,High,14,-30.1,27.5,2000,,
20160311,20160311,6,Ambient,13.99,-56.6,27.5,2000,,
