Measure.Date,Calib.Date,Tank,Treatment,Temperature,pH.MV,Salinity,TA,DIC,DNR.pH
20160304,20160304,1,Ambient,14,-53.1,26.8,2085,,
20160304,20160304,2,Ambient,13.99,-53,26.9,2085,,
20160304,20160304,3,Ambient,13.97,-52.9,26.5,2085,,
20160304,20160304,4,High,14.01,-31.7,26.8,2085,,
20160304,20160304,5,High,13.94,-31.1,26.9,2085,,
20160304,20160304,6,High,13.99,-31.3,26.9,2085,,
