,,,,,pH,,,,,SW absorbance,.,,SW + Dye absorbance,,,,,Alkalinity,,,
Label,Date,AM/PM,Treatment,Analysis date,Dye #,Dye Int.,Dye Slp.,T. (¡C),pK2 (mol/kg),434nm,578nm,730nm,434nm,578nm,730nm,A1/A2,pH (sws),Weight (g),Sal. (psu),Alkalinity (µmol/kg),Notes
T1,22-Feb,,Control,3/4/16,6,.153,-.093,20.0,8.0937,-.07117,-.08098,.01501,.56293,.73636,.01897,1.29079,7.889,,27,,
T2,22-Feb,,Control,3/4/16,6,.153,-.093,20.0,8.0916,-.09323,-.10548,-.01016,.55964,.74126,-.00301,1.30024,7.891,,28,,
T3,22-Feb,,Control,3/4/16,6,.153,-.093,19.7,8.0938,-.06432,-.06999,.01345,.59048,.77221,.01561,1.28714,7.888,,29,,No Larvae
T4,22-Feb,,Low,3/4/16,6,.153,-.093,19.4,8.0982,-.07177,-.07984,.00723,.61604,.52284,.00558,0.87653,7.711,,29,,
T5,22-Feb,,Low,3/4/16,6,.153,-.093,19.6,8.0974,-.08650,-.09293,-.00947,0.61736,0.54121,0.01065,0.89803,7.722,,28,,
T6,22-Feb,,Low,3/4/16,6,.153,-.093,19.3,8.1018,-.05511,-.06807,.01428,.65104,.54390,.01210,0.86704,7.710,,28,,
H1,23-Feb,,Low,3/4/16,6,.153,-.093,20.0,8.0916,-.12560,-.13045,-.03227,.61342,.45495,-.02102,0.78892,7.655,,28,,
H2,23-Feb,,Control,3/4/16,6,.153,-.093,19.3,8.1018,-.11900,-.11692,-.02263,.53669,.72285,.00119,1.29133,7.898,,28,,
T1,23-Feb,,Control,3/4/16,6,.153,-.093,19.4,8.1003,-.05440,-.06772,.01804,.57482,.70447,.01501,1.22613,7.872,,28,,
T2,23-Feb,,Control,3/4/16,6,.153,-.093,19.1,8.1047,-.06868,-.08891,-.00060,.56502,.67802,-.00603,1.20846,7.869,,28,,
T3,23-Feb,,Control,3/4/16,6,.153,-.093,19.1,8.1047,-.06458,-.08731,.00084,.56117,.68582,-.00261,1.23423,7.879,,28,,
T4,23-Feb,,Low,3/4/16,6,.153,-.093,19.3,8.1018,-.06092,-.07251,.01322,.64988,.52096,.01265,0.83506,7.692,,28,,
T5,23-Feb,,Low,3/4/16,6,.153,-.093,19.2,8.1032,-.05627,-.08008,.01438,.67669,.52659,.00019,0.83097,7.691,,28,,
T6,23-Feb,,Low,3/4/16,6,.153,-.093,19.2,8.1032,-.09943,-.11477,-.01395,.57928,.50039,-.01177,0.90606,7.732,,28,,No Larvae
H1,24-Feb,,Low,3/4/16,6,.153,-.093,19.6,8.0974,-.10347,-.09833,-.00648,.65562,.41332,-.01406,0.67725,7.590,,28,,
H2,24-Feb,,Control,3/4/16,6,.153,-.093,19.4,8.1024,-.10756,-.10824,-.01345,.52467,.71197,.00126,1.30441,7.903,,27,,
T1,24-Feb,,Control,3/4/16,6,.153,-.093,19.3,8.1018,-.08302,-.08927,-.00038,.55339,.69753,.01593,1.24253,7.879,,28,,
T2,24-Feb,,Control,3/4/16,6,.153,-.093,19.3,8.1039,-.04593,-.06376,.02257,.57863,.68315,.02196,1.19571,7.863,,27,,
T3,24-Feb,,Control,3/4/16,6,.153,-.093,19.6,8.0974,-.07753,-.10268,-.01195,.57465,.67979,.00455,1.20496,7.860,,28,,
T4,24-Feb,,Low,3/4/16,6,.153,-.093,19.3,8.1018,-.03770,-.06041,.02187,.68716,.38606,.02419,0.61471,7.549,,28,,
T5,24-Feb,,Low,3/4/16,6,.153,-.093,19.3,8.1018,-.05603,-.07417,.01766,.69343,.37954,.00334,0.61278,7.548,,28,,
T6,24-Feb,,Low,3/4/16,6,.153,-.093,19.3,8.1018,-.06489,-.07778,.00735,.67184,.39408,.01710,0.63566,7.565,,28,,
H1,25-Feb,,Low,3/4/16,6,.153,-.093,19.5,8.0989,-.09419,-.09711,-.00005,.70128,.38082,-.00390,0.60274,7.537,,28,,
H2,25-Feb,,Control,3/4/16,6,.153,-.093,19.5,8.1010,-.09277,-.09962,.00742,.55863,.70022,.01607,1.23095,7.874,,27,,
T1,25-Feb,,Control,3/4/16,6,.153,-.093,19.6,8.0995,-0.06955,-0.07300,0.01297,.63243,.74794,.01269,1.16940,7.848,,27,,
T2,25-Feb,,Control,3/4/16,6,.153,-.093,19.3,8.1039,-.08271,-.10506,-.00715,.51981,.61026,-.00385,1.18824,7.860,,27,,
T3,25-Feb,,Control,3/4/16,6,.153,-.093,19.5,8.1010,-.08009,-.09328,-.00769,.54596,.65624,.01176,1.20354,7.863,,27,,
T4,25-Feb,,Low,3/4/16,6,.153,-.093,20.0,8.0937,-.08766,-.10300,-.01257,.70920,.40276,-.00405,0.63074,7.553,,27,,
T5,25-Feb,,Low,3/4/16,6,.153,-.093,19.5,8.1010,-.04452,-.05197,.03888,.68778,.38042,-.00220,0.61221,7.547,,27,,
T6,25-Feb,,Low,3/4/16,6,.153,-.093,20.0,8.0937,-.08756,-.10439,-.01568,.66760,.37031,-.01195,0.62676,7.550,,27,,
H1,26-Feb,AM,Low,3/4/16,6,.153,-.093,19.3,8.1060,-.09405,-.09750,-.00679,.63542,.39572,.00386,0.67134,7.595,,26,,
H1,26-Feb,PM,Low,3/4/16,6,.153,-.093,19.5,8.1031,-.08499,-.08912,.01440,.72766,-.06861,-.01047,0.05418,6.307,,26,,
H2,26-Feb,AM,Control,3/4/16,6,.153,-.093,19.3,8.1060,-.09274,-.09673,-.00411,.52676,.69249,.00108,1.27628,7.896,,26,,
H2,26-Feb,PM,Control,3/4/16,6,.153,-.093,19.1,8.1068,-.09578,-.10260,-.00891,.53748,.68951,-.01709,1.24765,7.886,,27,,
T1,26-Feb,AM,Control,3/4/16,6,.153,-.093,19.1,8.1089,-.10089,-.11236,-.01734,.57025,.71173,-.01425,1.22895,7.881,,26,,
T1,26-Feb,PM,Control,3/4/16,6,.153,-.093,20.0,8.0937,-.07454,-.08579,.01201,.56564,.68261,.01386,1.20087,7.855,,27,,
T2,26-Feb,AM,Control,3/4/16,6,.153,-.093,19.9,8.0973,-0.06735,-0.07428,0.00774,.57743,.71530,.01752,1.22803,7.869,,26,,
T2,26-Feb,PM,Control,3/4/16,6,.153,-.093,20.0,8.0958,-.10853,-.12103,-.02768,.55247,.67462,-.01742,1.20692,7.860,,26,,
T3,26-Feb,AM,Control,3/4/16,6,.153,-.093,19.9,8.0973,-0.05211,-0.06038,0.02181,.59388,.70586,.01318,1.18369,7.852,,26,,
T3,26-Feb,PM,Control,3/4/16,6,.153,-.093,19.3,8.1060,.01640,-.04661,.03303,.67402,.68986,.03191,1.11970,7.834,,26,,
T4,26-Feb,AM,Low,3/4/16,6,.153,-.093,19.1,8.1089,-.08646,-.10157,-.00936,.65014,.40153,-.01171,0.68401,7.606,,26,,
T5,26-Feb,AM,Low,3/4/16,6,.153,-.093,19.4,8.1045,-.06957,-.07864,.01079,.65021,.40773,.00872,0.67665,7.597,,26,,
T5,26-Feb,PM,Low,3/4/16,6,.153,-.093,19.2,8.1074,-.12002,-.13306,-.03789,.78614,-.06392,-.01472,0.05206,6.284,,26,,
T6,26-Feb,AM,Low,3/4/16,6,.153,-.093,19.4,8.1045,-.06807,-.07470,.01865,.66069,.42687,.01354,0.69042,7.606,,26,,
T6,26-Feb,PM,Low,3/4/16,6,.153,-.093,19.2,8.1074,.00015,-.04499,.02940,.85632,.00568,.02799,0.06073,6.386,,26,,
CRM1,,,,3/4/16,6,.153,-.093,21.8,8.0539,-0.12344,-0.12390,-0.02346,.45729,.81795,-.02101,1.62447,7.960,,34,,pH +0.015
CRM2,,,,3/4/16,6,.153,-.093,21.9,8.0525,-.11096,-.09491,-.00145,.53555,.92594,-.00374,1.57697,7.945,,34,,pH +0.001
CRM3,,,,3/4/16,6,.153,-.093,19.3,8.0900,-.08839,-.07563,.01572,.48483,.84269,.00944,1.59551,7.988,,34,,pH +0.005
CRM4,,,,3/4/16,6,.153,-.093,19.6,8.0856,-.11213,-.10034,-.00796,.48296,.84184,.00588,1.59714,7.984,,34,,pH +0.006
,,,,,,,,,,,,,,,,,,,,,
