March 02, 2016 at 11:55AM	Reservoir Logging	11.81
March 02, 2016 at 11:56AM	Header 2 Logging	16.75
March 02, 2016 at 11:57AM	Header 1 Logging	13.18
March 02, 2016 at 11:58AM	Experiment Con Logging	17.43
March 02, 2016 at 12:01PM	Experiment Trea Logging	17.18
March 02, 2016 at 12:25PM	Reservoir Logging	11.87
March 02, 2016 at 12:44PM	Experiment Trea Logging	17.06
March 02, 2016 at 12:46PM	Header 2 Logging	16.75
March 02, 2016 at 12:46PM	Experiment Con Logging	17.31
March 02, 2016 at 12:46PM	Header 1 Logging	13.18
March 02, 2016 at 12:56PM	Reservoir Logging	11.87
March 02, 2016 at 01:01PM	Header 2 Logging	16.75
March 02, 2016 at 01:03PM	Experiment Con Logging	17.87
March 02, 2016 at 01:15PM	Experiment Trea Logging	17.62
March 02, 2016 at 01:16PM	Header 1 Logging	13.18
March 02, 2016 at 01:27PM	Reservoir Logging	11.87
March 02, 2016 at 01:47PM	Header 2 Logging	16.68
March 02, 2016 at 01:56PM	Experiment Trea Logging	17.5
March 02, 2016 at 01:56PM	Experiment Con Logging	17.62
March 02, 2016 at 01:57PM	Header 1 Logging	13.25
March 02, 2016 at 01:57PM	Reservoir Logging	11.93
March 02, 2016 at 02:17PM	Experiment Trea Logging	18.31
March 02, 2016 at 02:17PM	Header 2 Logging	16.68
March 02, 2016 at 02:17PM	Experiment Con Logging	18.25
March 02, 2016 at 02:27PM	Header 1 Logging	12.18
March 02, 2016 at 02:28PM	Reservoir Logging	12.18
March 02, 2016 at 02:48PM	Experiment Trea Logging	18.31
March 02, 2016 at 02:48PM	Header 2 Logging	16.93
March 02, 2016 at 02:48PM	Experiment Con Logging	18.12
March 02, 2016 at 02:57PM	Header 1 Logging	12.25
March 02, 2016 at 02:58PM	Reservoir Logging	12.5
March 02, 2016 at 03:18PM	Header 2 Logging	17
March 02, 2016 at 03:18PM	Experiment Con Logging	17.93
March 02, 2016 at 03:18PM	Experiment Trea Logging	18.12
March 02, 2016 at 03:27PM	Header 1 Logging	12.25
March 02, 2016 at 03:28PM	Reservoir Logging	12.81
March 02, 2016 at 03:48PM	Header 2 Logging	17
March 02, 2016 at 03:48PM	Experiment Con Logging	17.81
March 02, 2016 at 03:48PM	Experiment Trea Logging	18.18
March 02, 2016 at 03:57PM	Header 1 Logging	12.31
March 02, 2016 at 03:59PM	Reservoir Logging	12.93
March 02, 2016 at 04:18PM	Experiment Con Logging	17.87
March 02, 2016 at 04:19PM	Experiment Trea Logging	18.18
March 02, 2016 at 04:19PM	Header 2 Logging	17
March 02, 2016 at 04:27PM	Header 1 Logging	13
March 02, 2016 at 04:29PM	Reservoir Logging	13.68
March 02, 2016 at 04:49PM	Experiment Con Logging	17.56
March 02, 2016 at 04:49PM	Experiment Trea Logging	17.81
March 02, 2016 at 04:49PM	Header 2 Logging	17
March 02, 2016 at 04:58PM	Header 1 Logging	14.18
March 02, 2016 at 04:59PM	Reservoir Logging	14.75
March 02, 2016 at 05:19PM	Experiment Con Logging	17.43
March 02, 2016 at 05:19PM	Experiment Trea Logging	17.75
March 02, 2016 at 05:20PM	Header 2 Logging	17.06
March 02, 2016 at 05:28PM	Header 1 Logging	14.87
March 02, 2016 at 05:30PM	Reservoir Logging	15.25
March 02, 2016 at 05:49PM	Experiment Con Logging	17.12
