mVTris,TTris
-89,9.9
-88.7,10.1
-88.3,10.4
-87.5,11.05
-86.8,11.55
-86.4,11.8
-85.9,12.2
-85.6,12.46
-85,12.92
-84,13.63
-82.5,14.75
-81,15.92
-79.2,17.21
-77.9,18.18
-76.7,19.07
