"flag","S","T","P","pH","CO2","pCO2","fCO2","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite"
8,27.5,14,0,7.4,76.9640664485626,1917.35703790691,1910.43599162951,2010.86874782875,29.9695763060985,2117.80239058342,2085,0.469202666971909,0.747203313497564
8,27.5,14,0,7.5,60.5768119420408,1509.11174617651,1503.66433496068,1992.51744313826,37.3851399437883,2090.47939502409,2085,0.585300478978545,0.932088600661477
8,27.5,14,0,7.6,47.5716398431488,1185.12213123502,1180.84421900872,1969.89846098632,46.5308214448243,2064.0009222743,2085,0.728484957388689,1.16010929244473
8,27.5,14,0,7.7,37.2553800096384,928.119684386953,924.769468876954,1942.15870736221,57.7539370158535,2037.1680243877,2085,0.90419367291662,1.43992469780075
8,27.5,14,0,7.8,29.07782785767,724.397507338184,721.782663794496,1908.34846458965,71.4421570083399,2008.86844945566,2085,1.11849597939487,1.78120023769512
8,27.5,14,0,7.9,22.6023192992571,563.077264250491,561.044735239681,1867.44888995009,88.0127524689203,1978.06396171827,2085,1.37792465813247,2.19433933943991
8,27.5,14,0,8,17.4823182584395,435.525921361624,433.953811943735,1818.42226693179,107.89259019754,1943.79717538777,2085,1.68916272122578,2.68998467225684
8,27.5,20,0,7.4,66.623527237342,1980.70570348158,1974.07526232425,1993.44356337861,37.3315429695127,2097.39863358547,2085,0.598740570924562,0.94057078372667
8,27.5,20,0,7.5,52.3254922278047,1555.62764673023,1550.42016055183,1971.01371165352,46.468819641292,2069.80802352261,2085,0.745288444812997,1.17078509571805
8,27.5,20,0,7.6,40.9832433238638,1218.42458910299,1214.34589506556,1943.49150919339,57.6839037001627,2042.15865621742,2085,0.925161155615736,1.45334990723487
8,27.5,20,0,7.7,31.9918873907771,951.11316448788,947.929299333142,1909.92443729749,71.3654783363685,2013.28180302464,2085,1.14459258430109,1.79805811789469
8,27.5,20,0,7.8,24.8713646630777,739.421280804191,736.946057309738,1869.28679580008,87.9321989359366,1982.0903593991,2085,1.41029731979069,2.21545777884205
8,27.5,20,0,7.9,19.2407130984706,572.023003787064,570.108148460203,1820.52851995383,107.812590774544,1947.58182382684,2085,1.72914824886621,2.71634561376768
8,27.5,20,0,8,14.7975683550987,439.929094930519,438.456425885234,1762.65240496817,131.413103966442,1908.86307728971,2085,2.10766420664941,3.31096216115719
